
MAME GP2X GAMELIST (1204 romsets)

Name      Description
--------- -----------
005       "005"
vsyard    "10 Yard Fight (Vs. version)"
yard      "10 Yard Fight"
1941j     "1941 (Japan)"
1941      "1941 (World)"
1942      "1942 (set 1)"
1942a     "1942 (set 2)"
1942b     "1942 (set 3)"
1943jap   "1943 (Japan)"
1943      "1943 (US)"
1943kai   "1943 Kai"
2020bb    "2020 Super Baseball"
280zzzap  "280-ZZZAP"
3countb   "3 Count Bout / Fire Suplex"
bowler    "4 Player Bowling"
4dwarrio  "4D Warriors"
600       "600"
64street  "64th Street"
720       "720 Degrees (set 1)"
720b      "720 Degrees (set 2)"
apb       "APB (set 1)"
apb2      "APB (set 2)"
aso       "ASO (Armored Scrum Object)"
sonicwi2  "Aero Fighters 2 / Sonic Wings 2"
sonicwi3  "Aero Fighters 3 / Sonic Wings 3"
aerofgt   "Aero Fighters"
aeroboto  "Aeroboto"
aodk      "Aggressors of Dark Kombat / Tougai Gan San"
alexkidd  "Alex Kidd (set 1)"
alexkida  "Alex Kidd (set 2)"
astorm    "Alien Storm"
astormbl  "Alien Storm (bootleg)"
aliensyn  "Alien Syndrome (set 1)"
aliensya  "Alien Syndrome (set 2)"
aliensyb  "Alien Syndrome (set 3)"
alpham2   "Alpha Mission 2 / ASD Last Guardian 2"
alpine    "Alpine Ski (set 1)"
alpinea   "Alpine Ski (set 2)"
altbeast  "Altered Beast (Version 1)"
altbeas2  "Altered Beast (Version 2)"
maze      "Amazing Maze"
ambush    "Ambush"
amidarjp  "Amidar (Japan)"
amidars   "Amidar (Scramble hardware)"
amidar    "Amidar (US)"
amigo     "Amigo"
androdun  "Andro Dunos"
anteater  "Ant Eater"
arabian   "Arabian"
area88    "Area 88"
arkbl2    "Arkanoid (Japanese bootleg Set 2)"
arkatayt  "Arkanoid (Tayto bootleg, Japanese)"
arknoidu  "Arkanoid (USA)"
arkanoid  "Arkanoid (World)"
ark2us    "Arkanoid 2 - Revenge of DOH (Romstar)"
arkanoi2  "Arkanoid 2 - Revenge of DOH"
armwrest  "Arm Wrestling"
armedf    "Armed Formation"
armorcar  "Armored Car (set 1)"
armorca2  "Armored Car (set 2)"
artfight  "Art of Fighting / Ryuu Ko No Ken"
aof2      "Art of Fighting 2 / Ryuu Ko No Ken 2"
aof3      "Art of Fighting 3 / Ryuu Ko No Ken 3"
asteroi1  "Asteroids (rev 1)"
asteroid  "Asteroids (rev 2)"
astdelux  "Asteroids Deluxe (rev 2)"
astrob1   "Astro Blaster (version 1)"
astrob    "Astro Blaster (version 2)"
astrof2   "Astro Fighter (set 2)"
astrof3   "Astro Fighter (set 3)"
astrof    "Astro Fighter"
astinvad  "Astro Invader"
astlaser  "Astro Laser"
athena    "Athena"
atomicp   "Atomic Point"
aurail    "Aurail (set 1)"
auraila   "Aurail (set 2)"
avalnche  "Avalanche"
avengers  "Avengers (set 1)"
avenger2  "Avengers (set 2)"
avspirit  "Avenging Spirit"
baddudes  "Bad Dudes vs Dragonninja"
bagmans   "Bagman (Stern set 1)"
bagmans2  "Bagman (Stern set 2)"
bagman    "Bagman"
bandido   "Bandido"
bankp     "Bank Panic"
bstars2   "Baseball Stars 2"
bstars    "Baseball Stars Professional"
bsktball  "Basketball"
bzone2    "Battle Zone (alternate version)"
bzone     "Battle Zone"
atlantis  "Battle of Atlantis"
bayroute  "Bay Route (set 1)"
bayrouta  "Bay Route (set 2)"
bayrtbl1  "Bay Route (bootleg set 1)"
bayrtbl2  "Bay Route (bootleg set 2)"
beastf    "Beastie Feastie (Pac Man hardware)"
bermudat  "Bermuda Triangle"
berzerk1  "Berzerk (version 1)"
berzerk   "Berzerk"
bioatack  "Bio Attack"
bionicc   "Bionic Commando (set 1)"
bionicc2  "Bionic Commando (set 2)"
bking2    "Birdie King 2"
